Prop_lost,median1,median2,median3,median4,median5,median6
0.16399,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.16514,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.1659,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.16667,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.16781,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.16858,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.16972,0.81275,0.84025,0.778,0.88675,0.8135,0.819
0.17049,0.81225,0.84025,0.778,0.88675,0.8135,0.819
0.17164,0.81175,0.84025,0.778,0.88675,0.8135,0.819
0.1724,0.81175,0.84025,0.778,0.88675,0.8135,0.819
0.17355,0.81175,0.84025,0.778,0.88675,0.8135,0.819
0.17431,0.81175,0.84025,0.778,0.88675,0.8135,0.819
0.17546,0.81175,0.84025,0.778,0.88675,0.8135,0.819
0.17622,0.81175,0.84025,0.778,0.88675,0.8135,0.819
0.17737,0.81175,0.84025,0.778,0.88675,0.8135,0.819
0.17813,0.81175,0.84,0.778,0.88675,0.8135,0.819
0.1789,0.81175,0.84,0.778,0.88675,0.8135,0.819
0.17966,0.81175,0.84,0.778,0.88675,0.8135,0.819
0.18081,0.81125,0.84,0.778,0.88675,0.8135,0.819
0.18157,0.81075,0.84,0.778,0.88675,0.8135,0.819
0.18234,0.81025,0.84,0.778,0.88675,0.8135,0.819
0.18349,0.80975,0.83975,0.778,0.88675,0.8135,0.819
0.18425,0.80925,0.83975,0.778,0.88675,0.8135,0.819
0.18502,0.80925,0.83975,0.778,0.88675,0.8135,0.819
0.18616,0.80925,0.83975,0.778,0.88675,0.8135,0.819
0.18693,0.80925,0.8395,0.778,0.88675,0.8135,0.819
0.18769,0.80925,0.8395,0.778,0.88675,0.8135,0.819
0.18884,0.80925,0.8395,0.778,0.88675,0.8135,0.819
0.1896,0.80875,0.8395,0.778,0.88675,0.8135,0.819
0.19037,0.8075,0.83925,0.778,0.88675,0.8135,0.819
0.19151,0.80675,0.83925,0.778,0.88675,0.8135,0.819
0.19228,0.8055,0.839,0.778,0.88675,0.8135,0.819
0.19343,0.8045,0.839,0.778,0.88675,0.8135,0.819
0.19419,0.804,0.839,0.778,0.88675,0.8135,0.819
0.19534,0.8035,0.839,0.778,0.88675,0.8135,0.819
0.19648,0.80325,0.839,0.778,0.88675,0.8135,0.819
0.19725,0.80275,0.839,0.778,0.88675,0.8135,0.819
0.19839,0.80275,0.839,0.778,0.88675,0.8135,0.819
0.19916,0.80275,0.839,0.778,0.88675,0.8135,0.819
0.20031,0.80275,0.839,0.778,0.88675,0.8135,0.819
0.20107,0.80275,0.839,0.778,0.88675,0.8135,0.819
0.20222,0.80275,0.839,0.778,0.88675,0.8135,0.819
0.20298,0.80275,0.839,0.778,0.88675,0.8135,0.819
0.20413,0.80275,0.83875,0.778,0.88675,0.8135,0.819
0.20489,0.80275,0.83875,0.778,0.88675,0.8135,0.819
0.20604,0.80275,0.83875,0.778,0.88675,0.8135,0.819
0.2068,0.80275,0.83875,0.778,0.88675,0.8135,0.819
0.20757,0.80275,0.83875,0.778,0.88675,0.8135,0.819
0.20872,0.80275,0.83875,0.778,0.88675,0.8135,0.819
0.20948,0.80275,0.83875,0.778,0.88675,0.8135,0.819
0.21063,0.80275,0.83875,0.778,0.88675,0.8135,0.819
0.21139,0.80275,0.83875,0.778,0.88675,0.8135,0.819
0.21254,0.80275,0.83875,0.778,0.88675,0.8135,0.819
0.2133,0.80275,0.83875,0.778,0.88675,0.8135,0.819
0.21445,0.8025,0.83875,0.778,0.88675,0.8135,0.819
0.21521,0.8025,0.83875,0.778,0.88675,0.8135,0.819
0.21636,0.8025,0.83875,0.778,0.88675,0.8135,0.819
0.21713,0.80225,0.83875,0.778,0.88675,0.8135,0.819
0.21789,0.80175,0.83875,0.778,0.88675,0.8135,0.819
0.21904,0.801,0.83875,0.778,0.88675,0.8135,0.819
0.2198,0.80025,0.83875,0.778,0.88675,0.8135,0.819
0.22057,0.7995,0.83875,0.778,0.88675,0.8135,0.819
0.22133,0.79925,0.83875,0.778,0.88675,0.8135,0.81875
0.22248,0.79925,0.8385,0.778,0.88675,0.8135,0.81875
0.22324,0.79925,0.8385,0.778,0.88675,0.8135,0.81875
0.22401,0.79925,0.8385,0.778,0.88675,0.8135,0.81875
0.22477,0.79925,0.8385,0.778,0.88675,0.8135,0.81875
0.22554,0.79925,0.8385,0.778,0.88675,0.8135,0.81875
0.2263,0.79925,0.8385,0.778,0.88675,0.8135,0.81875
0.22706,0.799,0.8385,0.778,0.88675,0.8135,0.81875
0.22821,0.79875,0.83825,0.778,0.88675,0.8135,0.81875
0.22898,0.7985,0.83825,0.778,0.88675,0.8135,0.81875
0.23012,0.798,0.83825,0.778,0.88675,0.8135,0.81875
0.23089,0.7975,0.83825,0.778,0.88675,0.8135,0.81875
0.23203,0.797,0.83825,0.778,0.88675,0.8135,0.81875
0.2328,0.7965,0.83825,0.778,0.88675,0.8135,0.81875
0.23394,0.796,0.838,0.778,0.88675,0.8135,0.81875
0.23471,0.79575,0.838,0.778,0.88675,0.8135,0.8185
0.23586,0.79575,0.838,0.778,0.88675,0.8135,0.8185
0.23662,0.7955,0.838,0.778,0.88675,0.8135,0.8185
0.23777,0.7955,0.838,0.778,0.88675,0.8135,0.8185
0.23853,0.79525,0.838,0.778,0.88675,0.8135,0.8185
0.23968,0.79525,0.838,0.778,0.88675,0.8135,0.8185
0.24044,0.795,0.838,0.778,0.88675,0.8135,0.8185
0.24159,0.79475,0.838,0.778,0.88675,0.8135,0.8185
0.24235,0.7945,0.838,0.778,0.88675,0.8135,0.8185
0.2435,0.79425,0.838,0.778,0.88675,0.8135,0.8185
0.24427,0.79425,0.838,0.778,0.88675,0.8135,0.8185
0.24541,0.79425,0.838,0.778,0.88675,0.8135,0.8185
0.24618,0.79425,0.83775,0.778,0.88675,0.8135,0.8185
0.24694,0.79425,0.83775,0.778,0.88675,0.8135,0.8185
0.24809,0.79425,0.83775,0.778,0.88675,0.8135,0.8185
0.24885,0.79425,0.83775,0.778,0.88675,0.8135,0.8185
0.25,0.79425,0.83775,0.778,0.88675,0.8135,0.8185
0.25076,0.79425,0.83775,0.778,0.88675,0.8135,0.8185
0.25191,0.794,0.83775,0.778,0.88675,0.8135,0.8185
0.25268,0.79375,0.83775,0.778,0.88675,0.8135,0.8185
0.25382,0.79375,0.83775,0.778,0.88675,0.8135,0.8185
0.25459,0.7935,0.83775,0.778,0.88675,0.8135,0.8185
0.25573,0.793,0.8375,0.778,0.88675,0.8135,0.8185
0.2565,0.7925,0.8375,0.778,0.88675,0.8135,0.8185
0.25765,0.79175,0.8375,0.778,0.88675,0.8135,0.8185
0.25841,0.79075,0.8375,0.778,0.88675,0.8135,0.8185
0.25956,0.7905,0.8375,0.778,0.88675,0.8135,0.8185
0.26032,0.7905,0.8375,0.778,0.88675,0.8135,0.8185
0.26147,0.79025,0.8375,0.778,0.88675,0.8135,0.8185
0.26223,0.78975,0.8375,0.778,0.88675,0.8135,0.8185
0.26338,0.78925,0.8375,0.778,0.88675,0.8135,0.8185
0.26414,0.78875,0.8375,0.778,0.88675,0.8135,0.8185
0.26529,0.788,0.8375,0.778,0.88675,0.8135,0.8185
0.26606,0.78775,0.8375,0.778,0.88675,0.8135,0.8185
0.2672,0.78775,0.8375,0.778,0.88675,0.8135,0.8185
0.26797,0.78775,0.8375,0.778,0.88675,0.8135,0.8185
0.26911,0.78775,0.8375,0.778,0.88675,0.8135,0.8185
0.26988,0.78775,0.8375,0.778,0.88675,0.8135,0.8185
0.27102,0.7875,0.8375,0.778,0.88675,0.8135,0.8185
0.27179,0.7865,0.8375,0.778,0.88675,0.8135,0.8185
0.27294,0.786,0.8375,0.778,0.88675,0.8135,0.8185
0.2737,0.78575,0.8375,0.778,0.88675,0.8135,0.8185
0.27485,0.7855,0.8375,0.778,0.88675,0.8135,0.8185
0.27561,0.785,0.8375,0.778,0.88675,0.8135,0.8185
0.27676,0.7845,0.8375,0.778,0.88675,0.8135,0.8185
0.27752,0.78425,0.8375,0.778,0.88675,0.8135,0.8185
0.27867,0.78375,0.8375,0.778,0.88675,0.8135,0.8185
0.27943,0.78375,0.8375,0.778,0.88675,0.8135,0.8185
0.28058,0.78375,0.8375,0.778,0.88675,0.8135,0.8185
0.28135,0.78375,0.8375,0.778,0.88675,0.8135,0.8185
0.28249,0.7835,0.8375,0.778,0.88675,0.8135,0.8185
0.28364,0.783,0.8375,0.778,0.88675,0.8135,0.8185
0.2844,0.78225,0.8375,0.778,0.88675,0.8135,0.8185
0.28555,0.7815,0.8375,0.778,0.88675,0.8135,0.8185
0.28631,0.7815,0.83725,0.778,0.88675,0.8135,0.8185
0.28746,0.78125,0.83725,0.778,0.88675,0.8135,0.8185
0.28823,0.78125,0.83725,0.778,0.88675,0.8135,0.8185
0.28937,0.78125,0.83725,0.778,0.88675,0.8135,0.8185
0.29052,0.78075,0.83725,0.778,0.88675,0.8135,0.8185
0.29128,0.78075,0.83725,0.778,0.88675,0.8135,0.8185
0.29243,0.78075,0.837,0.778,0.88675,0.8135,0.8185
0.2932,0.78075,0.837,0.778,0.88675,0.8135,0.8185
0.29434,0.78075,0.837,0.778,0.88675,0.8135,0.8185
0.29549,0.7805,0.837,0.778,0.88675,0.8135,0.8185
0.29625,0.7805,0.837,0.778,0.88675,0.8135,0.81825
0.29702,0.78025,0.837,0.778,0.88675,0.8135,0.81825
0.29817,0.78025,0.837,0.778,0.88675,0.8135,0.81825
0.29893,0.77975,0.837,0.778,0.88675,0.8135,0.81825
0.30008,0.77925,0.83675,0.778,0.88675,0.8135,0.81825
0.30084,0.7785,0.83675,0.778,0.88675,0.8135,0.81825
0.30161,0.77775,0.83675,0.778,0.88675,0.8135,0.81825
0.30275,0.7775,0.83675,0.778,0.88675,0.8135,0.81825
0.30352,0.7775,0.83675,0.778,0.88675,0.8135,0.81825
0.30428,0.7775,0.83675,0.778,0.88675,0.8135,0.81825
0.30543,0.7775,0.83675,0.778,0.88675,0.8135,0.81825
0.30619,0.7775,0.83675,0.778,0.88675,0.8135,0.81825
0.30696,0.7775,0.83675,0.778,0.88675,0.8135,0.81825
0.3081,0.77725,0.83675,0.778,0.88675,0.8135,0.81825
0.30887,0.77725,0.83675,0.778,0.88675,0.8135,0.81825
0.31002,0.7765,0.83675,0.778,0.88675,0.8135,0.81825
0.31078,0.77575,0.83675,0.778,0.88675,0.8135,0.81825
0.31193,0.7745,0.83675,0.778,0.88675,0.8135,0.81825
0.31269,0.774,0.83675,0.778,0.88675,0.8135,0.81825
0.31384,0.774,0.83675,0.778,0.88675,0.8135,0.81825
0.31498,0.774,0.83675,0.778,0.88675,0.8135,0.818
0.31575,0.774,0.83675,0.778,0.88675,0.8135,0.818
0.3169,0.774,0.83675,0.778,0.88675,0.8135,0.818
0.31766,0.77375,0.83675,0.778,0.88675,0.8135,0.818
0.31881,0.77375,0.8365,0.778,0.88675,0.8135,0.818
0.31995,0.7735,0.8365,0.778,0.88675,0.8135,0.818
0.32072,0.77325,0.8365,0.778,0.88675,0.8135,0.818
0.32187,0.773,0.8365,0.778,0.88675,0.8135,0.818
0.32263,0.773,0.8365,0.778,0.88675,0.8135,0.818
0.32378,0.772,0.8365,0.778,0.88675,0.8135,0.818
0.32454,0.771,0.8365,0.778,0.88675,0.8135,0.818
0.32569,0.76975,0.8365,0.778,0.88675,0.8135,0.818
0.32645,0.76875,0.8365,0.778,0.88675,0.8135,0.81775
0.3276,0.76875,0.8365,0.778,0.88675,0.8135,0.81775
0.32875,0.76875,0.8365,0.778,0.88675,0.8135,0.81775
0.32951,0.7685,0.8365,0.778,0.88675,0.8135,0.8175
0.33066,0.7685,0.8365,0.778,0.88675,0.8135,0.81725
0.33142,0.76825,0.8365,0.778,0.88675,0.8135,0.81675
0.33257,0.76825,0.83625,0.778,0.88675,0.8135,0.8165
0.33333,0.768,0.83625,0.778,0.88675,0.8135,0.8165
0.33448,0.768,0.83625,0.778,0.88675,0.8135,0.8165
0.33524,0.76775,0.83625,0.778,0.88675,0.8135,0.8165
0.33639,0.76775,0.83625,0.778,0.88675,0.8135,0.8165
0.33716,0.76775,0.83625,0.778,0.88675,0.8135,0.8165
0.3383,0.76775,0.83625,0.778,0.88675,0.8135,0.8165
0.33907,0.76775,0.83625,0.778,0.88675,0.8135,0.8165
0.34021,0.76775,0.83625,0.778,0.88675,0.8135,0.8165
0.34136,0.76775,0.836,0.778,0.88675,0.8135,0.8165
0.34213,0.76725,0.836,0.778,0.88675,0.8135,0.8165
0.34327,0.767,0.836,0.778,0.88675,0.8135,0.8165
0.34442,0.7665,0.83575,0.778,0.88675,0.8135,0.8165
0.34518,0.76625,0.83575,0.778,0.88675,0.8135,0.8165
0.34633,0.766,0.8355,0.778,0.88675,0.8135,0.8165
0.34748,0.766,0.8355,0.778,0.88675,0.8135,0.8165
0.34824,0.76575,0.8355,0.778,0.88675,0.8135,0.8165
0.34939,0.76575,0.8355,0.778,0.88675,0.8135,0.8165
0.35054,0.76575,0.8355,0.778,0.88675,0.8135,0.8165
0.35168,0.7655,0.8355,0.778,0.88675,0.8135,0.8165
0.35245,0.7655,0.8355,0.778,0.88675,0.8135,0.8165
0.35359,0.76525,0.8355,0.778,0.88675,0.8135,0.8165
0.35474,0.76525,0.83525,0.778,0.88675,0.8135,0.8165
0.35589,0.76525,0.835,0.778,0.88675,0.8135,0.8165
0.35665,0.765,0.83475,0.778,0.88675,0.8135,0.8165
0.3578,0.76425,0.83475,0.778,0.88675,0.8135,0.81625
0.35894,0.7635,0.8345,0.778,0.88675,0.8135,0.81625
0.35971,0.76275,0.834,0.778,0.88675,0.8135,0.816
0.36086,0.76225,0.834,0.778,0.88675,0.8135,0.816
0.362,0.76225,0.834,0.778,0.88675,0.8135,0.816
0.36277,0.76225,0.83375,0.778,0.88675,0.8135,0.81575
0.36391,0.76225,0.83375,0.778,0.88675,0.8135,0.81575
0.36506,0.76225,0.83375,0.778,0.88675,0.8135,0.81575
0.36583,0.76225,0.83325,0.778,0.88675,0.8135,0.81575
0.36697,0.76225,0.83325,0.778,0.88675,0.8135,0.81575
0.36774,0.76225,0.83275,0.778,0.88675,0.8135,0.81575
0.36888,0.76225,0.8325,0.778,0.88675,0.8135,0.81575
0.36965,0.76225,0.8325,0.778,0.88675,0.8135,0.81575
0.3708,0.76225,0.83225,0.778,0.88675,0.8135,0.81575
0.37194,0.76225,0.832,0.778,0.88675,0.8135,0.81575
