Prop_lost,median1,median2
0.59251,0.68325,0.7035
0.59365,0.68225,0.70325
0.5948,0.6815,0.703
0.59595,0.6805,0.702
0.59709,0.6795,0.7015
0.59824,0.678,0.70075
0.59939,0.676,0.70025
0.60054,0.6745,0.7
0.60168,0.6735,0.7
0.60283,0.67175,0.69975
0.60398,0.67,0.69925
0.60512,0.6685,0.6985
0.60627,0.66625,0.69725
0.60742,0.664,0.6955
0.60856,0.662,0.69425
0.60971,0.66,0.69375
0.61086,0.65725,0.6935
0.612,0.6555,0.69325
0.61315,0.65275,0.69325
0.6143,0.65075,0.693
0.61544,0.64875,0.69125
0.61659,0.64725,0.68925
0.61774,0.64525,0.68775
0.61888,0.64325,0.6865
0.62003,0.64125,0.685
0.62118,0.64,0.684
0.62232,0.6385,0.68325
0.62347,0.637,0.68275
0.62462,0.63575,0.68225
0.62615,0.634,0.68225
0.62729,0.6325,0.68225
0.62844,0.63075,0.682
0.62959,0.62925,0.6815
0.63073,0.62775,0.681
0.63188,0.62575,0.68
0.63303,0.624,0.67825
0.63417,0.622,0.6775
0.63532,0.6205,0.67675
0.63647,0.6185,0.676
0.63761,0.61725,0.67525
0.63876,0.61575,0.67425
0.63991,0.61375,0.674
0.64106,0.61225,0.67375
0.6422,0.6105,0.6725
0.64335,0.609,0.67125
0.6445,0.607,0.67
0.64564,0.6055,0.66825
0.64679,0.6035,0.6665
0.64794,0.60125,0.66425
0.64908,0.59925,0.66225
0.65023,0.59725,0.66025
0.65138,0.59475,0.6595
0.65252,0.593,0.65875
0.65367,0.592,0.65775
0.65482,0.59075,0.657
0.65596,0.5895,0.6565
0.65711,0.58875,0.6555
0.65826,0.58725,0.654
0.6594,0.586,0.6535
0.66055,0.58475,0.6535
0.6617,0.5835,0.6535
0.66323,0.58225,0.65225
0.66437,0.58125,0.65175
0.66552,0.58025,0.65175
0.66667,0.579,0.6515
0.66781,0.57775,0.65125
0.66896,0.577,0.6505
0.67011,0.57575,0.65
0.67125,0.574,0.649
0.6724,0.57225,0.6475
0.67355,0.5705,0.6455
0.67469,0.5685,0.6435
0.67584,0.56725,0.64225
0.67699,0.566,0.6405
0.67813,0.5645,0.6395
0.67928,0.5635,0.63825
0.68043,0.56175,0.637
0.68157,0.56075,0.6355
0.68272,0.55925,0.63425
0.68387,0.558,0.633
0.68502,0.55675,0.63175
0.68616,0.55575,0.63025
0.68731,0.555,0.62825
0.68846,0.554,0.62625
0.6896,0.552,0.62425
0.69075,0.55025,0.62325
0.6919,0.5485,0.622
0.69304,0.5465,0.621
0.69419,0.54425,0.62025
0.69534,0.5425,0.62025
0.69648,0.54075,0.619
0.69763,0.53875,0.6185
0.69878,0.53675,0.61825
0.69992,0.53525,0.618
0.70107,0.5335,0.61675
0.70222,0.53175,0.61575
0.70336,0.53025,0.61475
0.70451,0.5285,0.61375
0.70604,0.52675,0.61125
0.70719,0.525,0.609
0.70833,0.52325,0.6065
0.70948,0.5215,0.604
0.71063,0.52,0.601
0.71177,0.518,0.5985
0.71292,0.51625,0.596
0.71407,0.51425,0.5945
0.71521,0.51275,0.592
0.71636,0.511,0.58975
0.71751,0.509,0.58675
0.71865,0.507,0.585
0.7198,0.505,0.58425
0.72057,0.5025,0.583
0.72171,0.5,0.5825
0.72286,0.49775,0.58175
0.72401,0.49575,0.58125
0.72515,0.49325,0.58075
0.7263,0.491,0.5795
0.72745,0.489,0.57875
0.72859,0.4865,0.578
0.72974,0.4845,0.5765
0.73089,0.482,0.5755
0.73203,0.47975,0.574
0.73318,0.478,0.57325
0.73433,0.476,0.57225
0.73547,0.47375,0.57025
0.73662,0.471,0.568
0.73777,0.46825,0.56625
0.73891,0.46575,0.565
0.74006,0.4635,0.56375
0.74159,0.461,0.562
0.74274,0.45875,0.5605
0.74388,0.45625,0.5585
0.74503,0.45375,0.5555
0.74618,0.452,0.55175
0.74732,0.4495,0.54775
0.74847,0.447,0.545
0.74962,0.444,0.543
0.75076,0.44175,0.54075
0.75191,0.43925,0.539
0.75306,0.436,0.53475
0.7542,0.4335,0.532
0.75535,0.43075,0.52825
0.7565,0.428,0.5255
0.75765,0.42525,0.52375
0.75879,0.42225,0.523
0.75994,0.41925,0.521
0.76109,0.41575,0.51825
0.76223,0.413,0.51575
