Prop_lost,median1,median2,median3,median4,median5,median6
0.32301,0.896,0.9085,0.914,0.9335,0.85,0.9245
0.32416,0.896,0.908,0.914,0.9335,0.85,0.9245
0.32531,0.896,0.908,0.914,0.9335,0.85,0.9245
0.32607,0.896,0.908,0.914,0.9335,0.85,0.9245
0.32722,0.896,0.908,0.914,0.9335,0.85,0.9245
0.32798,0.896,0.908,0.914,0.9335,0.85,0.9245
0.32913,0.896,0.908,0.914,0.9335,0.85,0.9245
0.33028,0.896,0.908,0.914,0.9335,0.85,0.9245
0.33104,0.896,0.908,0.914,0.9335,0.85,0.9245
0.33219,0.896,0.9075,0.914,0.9335,0.85,0.9245
0.33295,0.8955,0.9075,0.914,0.9335,0.85,0.9245
0.3341,0.895,0.9075,0.914,0.9335,0.85,0.9245
0.33486,0.8945,0.9075,0.914,0.9335,0.85,0.9245
0.33601,0.8945,0.907,0.914,0.9335,0.85,0.9245
0.33677,0.8945,0.907,0.914,0.9335,0.85,0.9245
0.33792,0.894,0.907,0.914,0.9335,0.85,0.9245
0.33869,0.894,0.907,0.914,0.9335,0.85,0.9245
0.33983,0.894,0.907,0.914,0.9335,0.85,0.9245
0.34098,0.8935,0.907,0.914,0.9335,0.85,0.9245
0.34174,0.8935,0.907,0.914,0.9335,0.85,0.9245
0.34289,0.893,0.907,0.914,0.9335,0.85,0.9245
0.34365,0.892,0.9065,0.914,0.9335,0.85,0.9245
0.3448,0.891,0.9065,0.914,0.9335,0.85,0.9245
0.34557,0.891,0.9065,0.914,0.9335,0.85,0.9245
0.34671,0.891,0.906,0.914,0.9335,0.85,0.9245
0.34748,0.891,0.906,0.914,0.9335,0.85,0.9245
0.34862,0.891,0.906,0.914,0.9335,0.85,0.9245
0.34977,0.891,0.9055,0.914,0.9335,0.85,0.9245
0.35054,0.891,0.9045,0.914,0.9335,0.85,0.9245
0.35168,0.891,0.903,0.914,0.9335,0.85,0.9245
0.35245,0.891,0.902,0.914,0.9335,0.85,0.9245
0.35359,0.891,0.9015,0.914,0.9335,0.85,0.9245
0.35436,0.891,0.9015,0.914,0.9335,0.85,0.9245
0.3555,0.891,0.901,0.914,0.9335,0.85,0.9245
0.35665,0.891,0.9005,0.914,0.9335,0.85,0.9245
0.35742,0.891,0.9005,0.914,0.9335,0.85,0.9245
0.35856,0.891,0.9,0.914,0.9335,0.85,0.9245
0.35933,0.891,0.9,0.914,0.9335,0.85,0.9245
0.36047,0.891,0.9,0.914,0.9335,0.85,0.9245
0.36162,0.891,0.8995,0.914,0.9335,0.85,0.9245
0.36239,0.891,0.899,0.914,0.9335,0.85,0.9245
0.36353,0.891,0.899,0.914,0.9335,0.85,0.9245
0.3643,0.89,0.899,0.914,0.9335,0.85,0.9245
0.36544,0.89,0.8985,0.914,0.9335,0.85,0.9245
0.36659,0.8895,0.898,0.914,0.9335,0.85,0.9245
0.36735,0.8895,0.898,0.914,0.9335,0.85,0.9245
0.3685,0.8895,0.8975,0.914,0.9335,0.85,0.9245
0.36965,0.8885,0.897,0.914,0.9335,0.85,0.9245
0.37041,0.8885,0.897,0.914,0.9335,0.85,0.9245
0.37156,0.8885,0.8965,0.914,0.9335,0.85,0.9245
0.37271,0.888,0.896,0.914,0.9335,0.85,0.9245
0.37347,0.887,0.8955,0.914,0.9335,0.85,0.9245
0.37462,0.886,0.8955,0.914,0.9335,0.85,0.9245
0.37576,0.886,0.8945,0.914,0.9335,0.85,0.9245
0.37653,0.8855,0.8945,0.914,0.9335,0.85,0.9245
0.37768,0.8855,0.8945,0.914,0.9335,0.85,0.9245
0.37882,0.8855,0.8945,0.914,0.9335,0.85,0.9245
0.37997,0.8855,0.894,0.914,0.9335,0.85,0.9245
0.38112,0.8855,0.894,0.914,0.9335,0.85,0.9245
0.38226,0.8855,0.894,0.914,0.9335,0.85,0.9245
0.38341,0.8855,0.8935,0.914,0.9335,0.85,0.9245
0.38456,0.8855,0.8935,0.914,0.9335,0.85,0.9245
0.38532,0.885,0.893,0.914,0.9335,0.85,0.9245
0.38647,0.885,0.8925,0.914,0.9335,0.85,0.9245
