Prop_lost,median1,median2
0.54358,0.7985,0.8435
0.54472,0.7965,0.843
0.54587,0.7945,0.843
0.54702,0.792,0.8425
0.54855,0.79,0.842
0.54969,0.788,0.842
0.55046,0.7855,0.8415
0.55161,0.783,0.8415
0.55275,0.7805,0.84
0.5539,0.7785,0.8385
0.55505,0.7765,0.8375
0.55619,0.774,0.836
0.55734,0.7715,0.835
0.55849,0.769,0.8345
0.55963,0.7655,0.834
0.56078,0.762,0.833
0.56193,0.7595,0.8315
0.56307,0.7585,0.83
0.56422,0.757,0.8285
0.56537,0.755,0.8275
0.56651,0.753,0.827
0.56766,0.751,0.8265
0.56881,0.7495,0.8255
0.56995,0.748,0.825
0.5711,0.7465,0.8245
0.57263,0.7445,0.8225
0.57378,0.7425,0.822
0.57492,0.741,0.8215
0.57607,0.74,0.8215
0.57722,0.7395,0.8215
0.57836,0.739,0.8215
0.57951,0.7385,0.821
0.58066,0.7375,0.821
0.5818,0.736,0.821
0.58295,0.7335,0.8205
0.5841,0.7315,0.82
0.58524,0.7295,0.8195
0.58677,0.728,0.8195
0.58792,0.7265,0.8195
0.58907,0.7245,0.8195
0.59021,0.723,0.819
0.59136,0.721,0.818
0.59251,0.7195,0.816
0.59365,0.718,0.816
0.5948,0.717,0.8155
0.59595,0.7155,0.8155
0.59709,0.714,0.8155
0.59862,0.7125,0.8155
0.59977,0.7095,0.8155
0.60092,0.7075,0.8145
0.60206,0.7055,0.8145
0.60321,0.7035,0.8145
0.60436,0.702,0.8145
0.6055,0.7005,0.8145
0.60665,0.699,0.813
0.6078,0.697,0.8115
0.60894,0.6955,0.809
0.61009,0.693,0.8065
0.61124,0.691,0.806
0.61239,0.689,0.804
0.61353,0.687,0.8025
0.61468,0.685,0.801
0.61621,0.683,0.8005
0.61735,0.681,0.7995
0.6185,0.679,0.7985
0.61965,0.677,0.798
0.6208,0.675,0.798
0.62194,0.673,0.798
0.62309,0.6705,0.798
0.62424,0.6685,0.7975
0.62538,0.6665,0.797
0.62653,0.665,0.7955
0.62768,0.6635,0.793
0.62882,0.6615,0.7905
0.62997,0.66,0.7895
0.63112,0.658,0.788
0.63226,0.6555,0.7865
0.63341,0.653,0.785
0.63456,0.6505,0.7845
0.6357,0.6475,0.7825
0.63685,0.645,0.778
0.638,0.6425,0.7735
